Symbol,CompanyName,Details,QuickFind,OptionChain,Type,Last Update
ABB,ABB Ltd.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABB&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABB&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABB&co=PC,STOCK,2022-05-01 05:14:05.036369
ABBV,AbbVie Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABBV&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABBV&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABBV&co=PC,STOCK,2022-05-01 05:14:05.036369
ABC,AmerisourceBergen Corp.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABC&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABC&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABC&co=PC,STOCK,2022-05-01 05:14:05.036369
ABCB,Ameris Bancorp,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABCB&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABCB&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABCB&co=PC,STOCK,2022-05-01 05:14:05.036369
ABCL,AbCellera Biologics Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABCL&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABCL&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABCL&co=PC,STOCK,2022-05-01 05:14:05.036369
ABEO,Abeona Therapeutics Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABEO&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABEO&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABEO&co=PC,STOCK,2022-05-01 05:14:05.036369
ABEV,Ambev SA,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABEV&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABEV&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABEV&co=PC,STOCK,2022-05-01 05:14:05.036369
ABG,Asbury Automotive Group Inc,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABG&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABG&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABG&co=PC,STOCK,2022-05-01 05:14:05.036369
ABIO,ARCA biopharma Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABIO&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABIO&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABIO&co=PC,STOCK,2022-05-01 05:14:05.036369
ABM,ABM Industries Inc,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABM&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABM&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABM&co=PC,STOCK,2022-05-01 05:14:05.036369
ABMD,ABIOMED Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABMD&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABMD&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABMD&co=PC,STOCK,2022-05-01 05:14:05.036369
ABNB,Airbnb Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABNB&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABNB&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABNB&co=PC,STOCK,2022-05-01 05:14:05.036369
ABOS,Acumen Pharmaceuticals Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABOS&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABOS&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABOS&co=PC,STOCK,2022-05-01 05:14:05.036369
ABR,Arbor Realty Trust Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABR&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABR&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABR&co=PC,STOCK,2022-05-01 05:14:05.036369
ABSI,Absci Corp.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABSI&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABSI&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABSI&co=PC,STOCK,2022-05-01 05:14:05.036369
ABST,Absolute Software Corp.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABST&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABST&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABST&co=PC,STOCK,2022-05-01 05:14:05.036369
ABT,Abbott Laboratories,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABT&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABT&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABT&co=PC,STOCK,2022-05-01 05:14:05.036369
ABTX,Allegiance Bancshares Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABTX&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABTX&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABTX&co=PC,STOCK,2022-05-01 05:14:05.036369
ABUS,Arbutus Biopharma Corp.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ABUS&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ABUS&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ABUS&co=PC,STOCK,2022-05-01 05:14:05.036369
ACA,Arcosa Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACA&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACA&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACA&co=PC,STOCK,2022-05-01 05:14:05.036369
ACAD,Acadia Pharm. Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACAD&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACAD&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACAD&co=PC,STOCK,2022-05-01 05:14:05.036369
ACB,Aurora Cannabis Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACB&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACB&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACB&co=PC,STOCK,2022-05-01 05:14:05.036369
ACC,American Campus Comms. Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACC&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACC&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACC&co=PC,STOCK,2022-05-01 05:14:05.036369
ACCD,Accolade Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACCD&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACCD&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACCD&co=PC,STOCK,2022-05-01 05:14:05.036369
ACCO,Acco Brands Corp.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACCO&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACCO&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACCO&co=PC,STOCK,2022-05-01 05:14:05.036369
ACEL,Accel Entertainment Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACEL&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACEL&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACEL&co=PC,STOCK,2022-05-01 05:14:05.036369
ACER,Acer Therapeutics Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACER&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACER&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACER&co=PC,STOCK,2022-05-01 05:14:05.036369
ACES,ALPS Clean Energy ETF,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACES&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACES&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACES&co=PC,ETF,2022-05-01 05:14:05.036369
ACES,ALPS Clean Energy ETF,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACES&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACES&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACES&co=PC,STOCK,2022-05-01 05:14:05.036369
ACET,Adicet Bio Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACET&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACET&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACET&co=PC,STOCK,2022-05-01 05:14:05.036369
ACEV,ACE Convergence Acquisition Corp.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACEV&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACEV&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACEV&co=PC,STOCK,2022-05-01 05:14:05.036369
ACGL,Arch Capital Group,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACGL&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACGL&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACGL&co=PC,STOCK,2022-05-01 05:14:05.036369
ACH,Aluminum Corp. of China Ltd.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACH&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACH&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACH&co=PC,STOCK,2022-05-01 05:14:05.036369
ACHC,Acadia Healthcare Company Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACHC&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACHC&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACHC&co=PC,STOCK,2022-05-01 05:14:05.036369
ACHR,Archer Aviation Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACHR&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACHR&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACHR&co=PC,STOCK,2022-05-01 05:14:05.036369
ACHV,Achieve Life Sciences Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACHV&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACHV&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACHV&co=PC,STOCK,2022-05-01 05:14:05.036369
ACI,Albertsons Companies Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACI&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACI&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACI&co=PC,STOCK,2022-05-01 05:14:05.036369
ACIU,AC Immune SA,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACIU&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACIU&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACIU&co=PC,STOCK,2022-05-01 05:14:05.036369
ACIW,ACI Worldwide Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACIW&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACIW&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACIW&co=PC,STOCK,2022-05-01 05:14:05.036369
ACLS,Axcelis Techs. Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACLS&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACLS&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACLS&co=PC,STOCK,2022-05-01 05:14:05.036369
ACM,AECOM,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACM&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACM&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACM&co=PC,STOCK,2022-05-01 05:14:05.036369
ACMR,ACM Research Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACMR&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACMR&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACMR&co=PC,STOCK,2022-05-01 05:14:05.036369
ACN,Accenture PLC,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACN&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACN&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACN&co=PC,STOCK,2022-05-01 05:14:05.036369
ACOR,Acorda Therapeutics Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACOR&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACOR&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACOR&co=PC,STOCK,2022-05-01 05:14:05.036369
ACR,ACRES Commercial Realty Corp.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACR&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACR&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACR&co=PC,STOCK,2022-05-01 05:14:05.036369
ACRE,Ares Commercial Real Estate Corp.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACRE&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACRE&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACRE&co=PC,STOCK,2022-05-01 05:14:05.036369
ACRS,Aclaris Therapeutics Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACRS&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACRS&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACRS&co=PC,STOCK,2022-05-01 05:14:05.036369
ACRX,AcelRx Pharmaceuticals Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACRX&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACRX&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACRX&co=PC,STOCK,2022-05-01 05:14:05.036369
ACT,Enact Holdings Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACT&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACT&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACT&co=PC,STOCK,2022-05-01 05:14:05.036369
ACTG,Acacia Research Corp.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACTG&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACTG&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACTG&co=PC,STOCK,2022-05-01 05:14:05.036369
ACVA,ACV Auctions Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACVA&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACVA&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACVA&co=PC,STOCK,2022-05-01 05:14:05.036369
ACWI,iShares MSCI ACWI Index ETF,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACWI&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACWI&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACWI&co=PC,ETF,2022-05-01 05:14:05.036369
ACWI,iShares MSCI ACWI Index ETF,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACWI&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACWI&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACWI&co=PC,STOCK,2022-05-01 05:14:05.036369
ACWV,iShares MSCI All Country World Min Volat Index ETF,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACWV&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACWV&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACWV&co=PC,ETF,2022-05-01 05:14:05.036369
ACWV,iShares MSCI All Country World Min Volat Index ETF,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACWV&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACWV&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACWV&co=PC,STOCK,2022-05-01 05:14:05.036369
ACWX,iShares MSCI All Country World ex US Index ETF,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACWX&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACWX&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACWX&co=PC,STOCK,2022-05-01 05:14:05.036369
ACWX,iShares MSCI All Country World ex US Index ETF,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACWX&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACWX&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACWX&co=PC,ETF,2022-05-01 05:14:05.036369
ACXP,Acurx Pharmaceuticals LLC,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ACXP&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ACXP&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ACXP&co=PC,STOCK,2022-05-01 05:14:05.036369
ADAP,Adaptimmune Therapeutics PLC,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADAP&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADAP&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADAP&co=PC,STOCK,2022-05-01 05:14:05.036369
ADBE,Adobe Systems Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADBE&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADBE&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADBE&co=PC,STOCK,2022-05-01 05:14:05.036369
ADC,Agree Realty Corp.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADC&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADC&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADC&co=PC,STOCK,2022-05-01 05:14:05.036369
ADCT,ADC Therapeutics SA,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADCT&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADCT&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADCT&co=PC,STOCK,2022-05-01 05:14:05.036369
ADES,Advanced Emissions Solutions Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADES&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADES&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADES&co=PC,STOCK,2022-05-01 05:14:05.036369
ADGI,Adagio Therapeutics Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADGI&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADGI&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADGI&co=PC,STOCK,2022-05-01 05:14:05.036369
ADI,Analog Devices Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADI&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADI&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADI&co=PC,STOCK,2022-05-01 05:14:05.036369
ADIL,Adial Pharmaceuticals Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADIL&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADIL&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADIL&co=PC,STOCK,2022-05-01 05:14:05.036369
ADM,Archer-Daniels-Midland Co.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADM&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADM&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADM&co=PC,STOCK,2022-05-01 05:14:05.036369
ADMA,ADMA Biologics Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADMA&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADMA&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADMA&co=PC,STOCK,2022-05-01 05:14:05.036369
ADMP,Adamis Pharmaceuticals Corp,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADMP&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADMP&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADMP&co=PC,STOCK,2022-05-01 05:14:05.036369
ADN,Advent Technologies Holdings Inc.,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADN&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADN&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADN&co=PC,STOCK,2022-05-01 05:14:05.036369
ADNT,Adient PLC,https://www.poweropt.com/partnerdetail.asp?txtSymbol=ADNT&co=OL,https://www.poweropt.com/partner_covered_calls.asp?sym=ADNT&sh=1000&co=MOT,https://www.poweropt.com/partnerchain.asp?view=c&txtSymbol=ADNT&co=PC,STOCK,2022-05-01 05:14:05.036369
